model,auc_mean,auc_std,logloss,logloss_std,precision,precision_std,recall,recall_std,brier,brier_std,avg_abs_diff
K-NN,0.9768351685635308,0.008249189921196234,0.9768351685635308,0.008249189921196234,0.9768351685635308,0.008249189921196234,0.9768351685635308,0.008249189921196234,0.9768351685635308,0.008249189921196234,0.15630369965922442
MLP,0.9881332723647833,0.004470065121132931,0.9881332723647833,0.004470065121132931,0.9881332723647833,0.004470065121132931,0.9881332723647833,0.004470065121132931,0.9881332723647833,0.004470065121132931,0.16289208830215274
DT,0.9574897607983803,0.01626233577305714,0.9574897607983803,0.01626233577305714,0.9574897607983803,0.01626233577305714,0.9574897607983803,0.01626233577305714,0.9574897607983803,0.01626233577305714,0.1473858057159305
AdaBoost DT,0.9561859813631024,0.012929249295582639,0.9561859813631024,0.012929249295582639,0.9561859813631024,0.012929249295582639,0.9561859813631024,0.012929249295582639,0.9561859813631024,0.012929249295582639,0.3083623417253612
SVM,0.9883126525285031,0.003480982977804449,0.9883126525285031,0.003480982977804449,0.9883126525285031,0.003480982977804449,0.9883126525285031,0.003480982977804449,0.9883126525285031,0.003480982977804449,0.33102137710134666
Logistic Reg,0.9937262942038074,0.0033307167239084888,0.9937262942038074,0.0033307167239084888,0.9937262942038074,0.0033307167239084888,0.9937262942038074,0.0033307167239084888,0.9937262942038074,0.0033307167239084888,0.15245744413205833
LDA,0.9812927911245015,0.004574321345234861,0.9812927911245015,0.004574321345234861,0.9812927911245015,0.004574321345234861,0.9812927911245015,0.004574321345234861,0.9812927911245015,0.004574321345234861,0.15179016216700342
Ridge Reg,0.981225446752416,0.004555548715260062,0.981225446752416,0.004555548715260062,0.981225446752416,0.004555548715260062,0.981225446752416,0.004555548715260062,0.981225446752416,0.004555548715260062,0.27798886373201687
RF,0.9962246203608197,0.0024190108059335513,0.9962246203608197,0.0024190108059335513,0.9962246203608197,0.0024190108059335513,0.9962246203608197,0.0024190108059335513,0.9962246203608197,0.0024190108059335513,0.1486803623723841
ET,0.9963417534771036,0.001920591025108101,0.9963417534771036,0.001920591025108101,0.9963417534771036,0.001920591025108101,0.9963417534771036,0.001920591025108101,0.9963417534771036,0.001920591025108101,0.1486609204736988
QDA,0.987467695221872,0.0054323267177173035,0.987467695221872,0.0054323267177173035,0.987467695221872,0.0054323267177173035,0.987467695221872,0.0054323267177173035,0.987467695221872,0.0054323267177173035,0.15013541352843945
